"Binomial","Sex","Dorsal.photo","Dorsal.URL","Dorsal.conspicuousness","Ventral.photo","Ventral.URL","Ventral.conspicuousness","ConspicuousnessDiff"
"Arhopala micale",NA,134,"134 (1).png",0.768294642857143,412,"412 (1).png",0.154526984126984,0.613767658730159
"Arrhenes dschilus",NA,415,"415 (3).png",0.0697023255813954,754,"754 (1).png",0.076350909090909,-0.00664858350951358
"Belenois java",NA,1184,"1184 (1).png",0.621970175438596,768,"768 (1).png",0.70523,-0.0832598245614036
"Candalides absimilis",NA,987,"987 (1).png",0.707786363636364,1527,"1527 (1).png",0.688629824561404,0.0191565390749602
"candalides hyacinthus",NA,3689,"3689 (1).png",0.2807,3636,"3636 (1).png",0.508243902439024,-0.227543902439024
"Catopsilia pomona","female",1077,"1077 (1).png",0.679155172413793,2779,"2779 (1).png",0.55495,0.124205172413793
"Catopsilia pomona","male",69,"69 (1).png",0.734758139534884,2779,"2779 (1).png",0.55495,0.179808139534884
"Catopyrops florinda",NA,NA,NA,NA,2860,"2860 (1).png",0.482035135135135,NA
"Cephrenes augiades",NA,1911,"1911 (1).png",0.0752222222222223,2708,"2708 (1) (1).png",0.110031034482759,-0.0348088122605364
"Cepora perimale",NA,2988,"2988 (1).png",0.708192857142857,2846,"2846 (1).png",0.488015254237288,0.220177602905569
"Cethosia cydippe",NA,1896,"1896 (1).png",0.417305454545455,20,"20 (1).png",0.427002127659574,-0.00969667311411992
"cupha prosope",NA,2720,"2720 (1).png",0.507872131147541,2196,"2196 (1).png",0.289330158730159,0.218541972417382
"Danaus affinis",NA,346,"346 (1).png",0.418792156862745,1873,"1873 (1).png",0.514766666666667,-0.0959745098039216
"Danaus petilia",NA,3024,"3024 (1).png",0.453388235294118,2989,"2989 (1).png",0.450413636363636,0.00297459893048124
"Danaus plexippus",NA,1298,"1298 (1).png",0.339136206896552,3845,"3845 (1).png",0.563555102040816,-0.224418895144264
"Delias argenthona",NA,1180,"1180 (1).png",0.630693650793651,3109,"3109 (1).png",0.668017647058823,-0.0373239962651727
"Delias mysis",NA,280,"280 (1).png",0.563136363636364,2678,"2678 (1).png",0.697385185185185,-0.134248821548822
"Delias nigrina",NA,1255,"1255 (1).png",0.544332727272727,496,"496 (1).png",0.283626984126984,0.260705743145743
"Euploea corinna",NA,1288,"1288 (1).png",0.415918,2879,"2879 (1).png",0.495789655172414,-0.0798716551724138
"Euploea tulliolus",NA,854,"854 (1).png",0.362420967741936,2056,"2056 (1).png",0.33076,0.0316609677419355
"Eurema hecabe",NA,2527,"2527 (1).png",0.639188679245283,2476,"2476 (1).png",0.567830188679245,0.0713584905660377
"Eurema laeta",NA,1984,"1984 (1).png",0.555508333333333,2062,"2062 (1).png",0.491258181818182,0.0642501515151515
"Eurema smilax",NA,3077,"3077 (1).png",0.563998076923077,1100,"1100 (1).png",0.507790196078431,0.0562078808446456
"Graphium choredon",NA,2985,"2985 (1).png",0.691863461538462,2777,"2777 (1).png",0.649664150943396,0.0421993105950653
"Heteronympha merope",NA,3618,"3618 (1).png",0.258878571428572,1545,"1545 (1).png",0.397730769230769,-0.138852197802198
"Heteronympha mirifica",NA,1625,"1625 (1).png",0.435859259259259,1648,"1648 (1).png",0.174855,0.261004259259259
"Hypocysta metirius",NA,1372,"1372 (1).png",0.179474074074074,1265,"1265 (1).png",0.269114285714286,-0.0896402116402115
"Hypolimnas bolina","female",1921,"1921 (1).png",0.477557575757576,543,"543 (1).png",0.377103773584906,0.10045380217267
"Hypolimnas bolina","male",1071,"1071 (1).png",0.47037962962963,543,"543 (1).png",0.377103773584906,0.093275856044724
"Hypolycaena phorbas",NA,1906,"1906 (1).png",0.536392424242424,18,"18 (1).png",0.623288333333333,-0.0868959090909091
"Junonia hedonia",NA,2563,"2563 (1).png",0.244852542372881,2693,"2693 (1).png",0.173581034482759,0.0712715078901226
"Junonia villida",NA,1796,"1796 (1).png",0.1741546875,1032,"1032 (1).png",0.553848333333333,-0.379693645833333
"Lampides boeticus",NA,3085,"3085 (1).png",0.487775438596491,1010,"1010 (1).png",0.572590909090909,-0.084815470494418
"Leptotes plinius",NA,1006,"1006 (1).png",0.490422033898305,1046,"1046 (1).png",0.387837096774194,0.102584937124112
"Melanitis leda",NA,649,"649 (1).png",0.287288372093023,1383,"1383 (1).png",0.090121875,0.197166497093023
"Mesodina halyzia",NA,NA,NA,NA,3714,"3714 (1).png",0.168473684210526,NA
"Mycalesis perseus",NA,2606,"2606 (1).png",0.247368421052632,2324,"2324 (1).png",0.20746,0.0399084210526315
"Mycalesis sirius",NA,359,"359 (1).png",0.195640476190476,2341,"2341 (1).png",0.246184615384615,-0.0505441391941392
"Mycalesis terminus",NA,2622,"2622 (1).png",0.356050980392157,567,"567r.png",0.286649019607843,0.0694019607843138
"Nacaduba berenice",NA,NA,NA,NA,2800,"2800 (1).png",0.331366666666667,NA
"Nacaduba cyanea",NA,1867,"1867 (1).png",0.735891176470588,14,"14 (1).png",0.710810638297872,0.0250805381727159
"Neptis praslini",NA,324,"324 (1).png",0.628607692307692,2060,"2060 (1).png",0.597556896551724,0.0310507957559681
"Notocrypta waigensis",NA,1918,"1918 (1).png",0.462696,747,"747 (1).png",0.384441509433962,0.0782544905660377
"Ocybadistes flavovitta",NA,NA,NA,NA,3640,"3640 (1).png",0.165171186440678,NA
"Ocybadistes walkeri",NA,1593,"1593 (1).png",0.0825531914893618,1687,"1687 (1).png",0.33149,-0.248936808510638
"Pantoporia consimilis",NA,59,"59 (1).png",0.33145,263,"263 (1).png",0.357081132075472,-0.0256311320754716
"Papilio aegeus",NA,1388,"1388 (1).png",0.5052453125,3369,"3369 (1).png",0.436190196078431,0.0690551164215687
"Papilio demoleus",NA,1849,"1849 (1).png",0.467561764705882,2821,"2821 (1).png",0.529811320754717,-0.0622495560488348
"Pelopidas agna",NA,1856,"1856 (1).png",0.115526785714286,2021,"2021 (1).png",0.266247368421053,-0.150720582706767
"Pelopidas lyelli",NA,NA,NA,NA,2532,"2532 (1).png",0.16765,NA
"Pieris rapae",NA,3625,"3625 (1).png",0.709524528301887,3372,"3372 (1).png",0.728604444444444,-0.0190799161425576
"Psychonotis caelius","male",688,"688 (1).png",0.800408620689655,23,"23 (1).png",0.715579069767442,0.0848295509222133
"sabera caesina",NA,238,"238 (1).png",0.282001785714286,271,"271 (1).png",0.221162903225806,0.0608388824884792
"Sabera fuliginosa",NA,NA,NA,NA,1263,"1263 (1).png",0.275693617021277,NA
"Suniana sunias",NA,652,"652 (1).png",0.0850190476190477,2078,"2078 (1).png",0.190532608695652,-0.105513561076605
"Telicota ancilla",NA,2483,"2483 (1).png",0.321272881355932,266,"266 (1).png",0.326772222222222,-0.00549934086629011
"Telicota mesoptis",NA,70,"70 (1).png",0.178954545454545,648,"648 (1).png",0.0848606557377048,0.0940938897168405
"Theclinesthes onycha",NA,2854,"2854 (1).png",0.671384090909091,2762,"2762 (1).png",0.533632352941177,0.137751737967914
"Tisiphone abeona",NA,1761,"1761 (1).png",0.333321538461538,3677,"3677 (1).png",0.30099,0.0323315384615385
"Toxidia peron",NA,1639,"1639 (1).png",0.147526666666667,1660,"1660 (1).png",0.35182,-0.204293333333333
"Trapezites symmomus",NA,1599,"1599 (1).png",0.0908371428571428,1587,"1587 (1).png",0.222654237288136,-0.131817094430993
"Vanessa kershawi",NA,1799,"1799 (1).png",0.26030701754386,1791,"1791 (1).png",0.214242857142857,0.0460641604010025
"Ypthima arctous",NA,2548,"2548 (1).png",0.234603703703704,2319,"2319 (1).png",0.307585106382979,-0.072981402679275
"Zizina otis","female",144,"144 (1).png",0.374574193548387,2376,"2376 (1).png",0.5774,-0.202825806451613
"Zizina otis","male",1324,"1324 (1).png",0.43111875,2376,"2376 (1).png",0.5774,-0.14628125
"Zizula hylax",NA,1293,"1293 (1).png",0.469136,2045,"2045 (1).png",0.628947169811321,-0.159811169811321
